Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
246,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
247,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
248,Complete,Female,65+ years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
249,Complete,Male,55-64 years,NSW,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",TAFE qualification
250,Complete,Male,55-64 years,NSW,Cricket,,Married,Retired,TAFE qualification
251,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
252,Complete,Female,35-44 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
253,Complete,Female,65+ years,QLD,Cricket,,Widowed,Retired,TAFE qualification
254,Complete,Male,25-34 years,VIC,Cricket,,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
255,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
256,Complete,Female,35-44 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
257,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
258,Complete,Male,45-54 years,VIC,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
259,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
260,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Post Graduate Degree - Master's
261,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Separated,Retired,Diploma and advanced Diploma
262,Complete,Male,65+ years,VIC,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
263,Complete,Female,35-44 years,VIC,Cricket,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
264,Complete,Female,65+ years,VIC,Cricket,,Single,Retired,TAFE qualification
265,Complete,Male,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
266,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Divorced,Retired,Diploma and advanced Diploma
267,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,In a relationship,Retired,Year/Grade 10 (or equivalent) or lower
268,Complete,Male,25-34 years,NSW,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",TAFE qualification
269,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Year/Grade 10 (or equivalent) or lower
270,Complete,Male,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
271,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
272,Complete,Female,45-54 years,SA,Swimming,,Married,Self-employed,Post Graduate Degree - Master's
273,Complete,Male,25-34 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
274,Complete,Female,35-44 years,SA,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
275,Complete,Female,25-34 years,WA,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
276,Complete,Female,45-54 years,QLD,Golf,,Married,Self-employed,Undergraduate or Bachelor Degree
277,Complete,Female,45-54 years,WA,Australian Rules Football (AFL),,Married,Homemaker,Year/Grade 12 or equivalent
278,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
280,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Married,Self-employed,Undergraduate or Bachelor Degree
281,Complete,Male,65+ years,SA,Cricket,,Married,Retired,TAFE qualification
282,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
283,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
284,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Undergraduate or Bachelor Degree
285,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
286,Complete,Female,65+ years,NSW,Cricket,,Widowed,Retired,Year/Grade 12 or equivalent
287,Complete,Male,45-54 years,VIC,Cricket,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
288,Complete,Female,45-54 years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
289,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
290,Complete,Female,25-34 years,NSW,Tennis,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
291,Complete,Male,55-64 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
292,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Divorced,Retired,Diploma and advanced Diploma
293,Complete,Male,65+ years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
294,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
295,Complete,Male,45-54 years,WA,Soccer,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
296,Complete,Female,55-64 years,WA,Australian Rules Football (AFL),,Single,Retired,Graduate Diploma/ Graduate Certificate
297,Complete,Male,65+ years,WA,Cricket,,Divorced,Retired,Year/Grade 10 (or equivalent) or lower
298,Complete,Female,45-54 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
299,Complete,Male,45-54 years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
300,Complete,Male,65+ years,QLD,Rugby League (NRL),,Divorced,Self-employed,Undergraduate or Bachelor Degree
301,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
302,Complete,Male,35-44 years,NSW,Rugby League (NRL),,In a relationship,Not currently employed,Year/Grade 12 or equivalent
303,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
304,Complete,Male,65+ years,WA,Cricket,,Married,Retired,Diploma and advanced Diploma
305,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Year/Grade 12 or equivalent
306,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,Self-employed,TAFE qualification
307,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
308,Complete,Male,65+ years,TAS,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
310,Complete,Female,65+ years,VIC,Cricket,,Divorced,Retired,Year/Grade 10 (or equivalent) or lower
311,Complete,Female,25-34 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
312,Complete,Female,55-64 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
313,Complete,Male,65+ years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
314,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
315,Complete,Male,25-34 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
316,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Diploma and advanced Diploma
317,Complete,Male,18-24 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
318,Complete,Female,35-44 years,NSW,Tennis,,Married,Homemaker,Post Graduate Degree - Master's
319,Complete,Female,35-44 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",TAFE qualification
320,Complete,Female,18-24 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
321,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
322,Complete,Male,55-64 years,NSW,Cricket,,In a relationship,Self-employed,Undergraduate or Bachelor Degree
323,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
324,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Separated,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
325,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
326,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
327,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
328,Complete,Male,45-54 years,VIC,Tennis,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
329,Complete,Male,65+ years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
330,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
331,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Single,Retired,Year/Grade 12 or equivalent
332,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Married,Not currently employed,Undergraduate or Bachelor Degree
333,Complete,Female,65+ years,QLD,Cricket,,Single,Self-employed,Graduate Diploma/ Graduate Certificate
334,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
335,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
336,Complete,Female,65+ years,NSW,Cricket,,Divorced,Retired,Year/Grade 10 (or equivalent) or lower
337,Complete,Female,25-34 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
338,Complete,Female,25-34 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
339,Complete,Female,65+ years,SA,Soccer,,Widowed,Retired,Year/Grade 12 or equivalent
340,Complete,Female,55-64 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
341,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Separated,Retired,Year/Grade 12 or equivalent
342,Complete,Female,35-44 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
343,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
344,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Diploma and advanced Diploma
345,Complete,Female,55-64 years,WA,Australian Rules Football (AFL),,Single,Homemaker,Year/Grade 12 or equivalent
346,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
347,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
348,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
349,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
350,Complete,Female,45-54 years,QLD,Rugby League (NRL),,Married,Homemaker,Year/Grade 12 or equivalent
351,Complete,Male,25-34 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
352,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Divorced,Self-employed,Undergraduate or Bachelor Degree
353,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Separated,"An employee on wages, salary or commission",TAFE qualification
354,Complete,Female,25-34 years,NSW,Cricket,,Married,Homemaker,Undergraduate or Bachelor Degree
355,Complete,Male,65+ years,NSW,Rugby League (NRL),,Married,Retired,Post Graduate Degree - Doctorate
356,Complete,Male,45-54 years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
357,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Single,Retired,TAFE qualification
358,Complete,Female,25-34 years,NSW,Netball,,Engaged,Self-employed,TAFE qualification
359,Complete,Female,35-44 years,VIC,Netball,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
360,Complete,Female,18-24 years,NSW,Basketball,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
361,Complete,Female,65+ years,QLD,Cricket,,Widowed,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
362,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Single,Retired,Year/Grade 12 or equivalent
363,Complete,Female,65+ years,NSW,Basketball,,Married,Retired,Year/Grade 10 (or equivalent) or lower
364,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
365,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,Undergraduate or Bachelor Degree
366,Complete,Female,45-54 years,NSW,Cricket,,Separated,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
367,Complete,Female,45-54 years,SA,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",TAFE qualification
368,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
369,Complete,Male,55-64 years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
370,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
371,Complete,Female,55-64 years,NSW,Australian Rules Football (AFL),,Married,Homemaker,Year/Grade 12 or equivalent
372,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,Post Graduate Degree - Master's
373,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Married,Not currently employed,Year/Grade 10 (or equivalent) or lower
374,Complete,Female,45-54 years,NSW,Cricket,,Single,Homemaker,Year/Grade 12 or equivalent
375,Complete,Female,45-54 years,NSW,Rugby League (NRL),,De facto / Lives with partner,Homemaker,TAFE qualification
376,Complete,Female,65+ years,NSW,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
377,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
378,Complete,Female,35-44 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Diploma and advanced Diploma
379,Complete,Female,65+ years,QLD,Cricket,,Divorced,Retired,Year/Grade 12 or equivalent
380,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
381,Complete,Male,25-34 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
382,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Married,Homemaker,Undergraduate or Bachelor Degree
383,Complete,Male,25-34 years,WA,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
384,Complete,Male,35-44 years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
385,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,Undergraduate or Bachelor Degree
386,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
387,Complete,Male,65+ years,NSW,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
388,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
389,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",TAFE qualification
390,Complete,Female,35-44 years,NSW,Tennis,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
391,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
392,Complete,Female,45-54 years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
393,Complete,Female,45-54 years,NSW,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
394,Complete,Male,45-54 years,ACT,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
395,Complete,Female,25-34 years,QLD,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
396,Complete,Male,25-34 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
397,Complete,Male,45-54 years,QLD,Netball,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
398,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Married,Homemaker,Undergraduate or Bachelor Degree
399,Complete,Male,55-64 years,NSW,Australian Rules Football (AFL),,Single,Retired,TAFE qualification
400,Complete,Female,65+ years,NSW,Other (please specify),Don't know,Divorced,Retired,Year/Grade 12 or equivalent
401,Complete,Male,65+ years,QLD,Cricket,,De facto / Lives with partner,Retired,Year/Grade 10 (or equivalent) or lower
402,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Separated,Self-employed,Diploma and advanced Diploma
403,Complete,Female,18-24 years,ACT,Cricket,,In a relationship,Not currently employed,Year/Grade 12 or equivalent
404,Complete,Male,65+ years,QLD,Rugby Union,,Widowed,Retired,Diploma and advanced Diploma
405,Complete,Female,55-64 years,NSW,Australian Rules Football (AFL),,De facto / Lives with partner,Self-employed,Year/Grade 12 or equivalent
406,Complete,Male,45-54 years,QLD,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
407,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
408,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
409,Complete,Female,45-54 years,WA,Tennis,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
410,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Widowed,Retired,Undergraduate or Bachelor Degree
412,Complete,Female,65+ years,NSW,Rugby League (NRL),,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
413,Complete,Female,45-54 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
414,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Self-employed,Diploma and advanced Diploma
415,Complete,Female,45-54 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
416,Complete,Male,65+ years,NSW,Surfing,,Married,Retired,TAFE qualification
417,Complete,Female,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
418,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
419,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
420,Complete,Female,35-44 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
421,Complete,Female,45-54 years,NSW,Australian Rules Football (AFL),,Separated,"An employee on wages, salary or commission",TAFE qualification
422,Complete,Female,65+ years,TAS,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
423,Complete,Male,25-34 years,NSW,Tennis,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
424,Complete,Male,55-64 years,QLD,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
425,Complete,Male,55-64 years,NSW,Cricket,,Single,Homemaker,Undergraduate or Bachelor Degree
426,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
427,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,TAFE qualification
428,Complete,Female,18-24 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
429,Complete,Female,35-44 years,WA,Cricket,,Married,Homemaker,Year/Grade 12 or equivalent
430,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
431,Complete,Male,35-44 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
432,Complete,Male,25-34 years,QLD,Cricket,,In a relationship,Not currently employed,TAFE qualification
433,Complete,Male,25-34 years,NSW,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
434,Complete,Male,25-34 years,NSW,Tennis,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
435,Complete,Male,55-64 years,NSW,Other (please specify),Horsecracing,Married,Retired,Year/Grade 10 (or equivalent) or lower
436,Complete,Female,55-64 years,QLD,Cricket,,Married,Retired,Year/Grade 12 or equivalent
437,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
438,Complete,Female,25-34 years,VIC,Soccer,,Engaged,Retired,TAFE qualification
439,Complete,Female,18-24 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
440,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
441,Complete,Male,35-44 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
442,Complete,Female,35-44 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
443,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
444,Complete,Male,55-64 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
445,Complete,Male,25-34 years,NSW,Soccer,,Single,Self-employed,Undergraduate or Bachelor Degree
446,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
447,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",TAFE qualification
448,Complete,Male,55-64 years,WA,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",TAFE qualification
449,Complete,Female,25-34 years,NSW,Tennis,,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
450,Complete,Male,25-34 years,VIC,Tennis,,Single,Not currently employed,Diploma and advanced Diploma
451,Complete,Male,45-54 years,SA,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
452,Complete,Male,45-54 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
453,Complete,Male,55-64 years,QLD,Cricket,,Married,Self-employed,Post Graduate Degree - Master's
454,Complete,Male,25-34 years,NSW,Rugby League (NRL),,In a relationship,Not currently employed,Graduate Diploma/ Graduate Certificate
455,Complete,Male,55-64 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
456,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Single,Homemaker,Year/Grade 10 (or equivalent) or lower
457,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Single,Not currently employed,Diploma and advanced Diploma
458,Complete,Male,35-44 years,WA,Australian Rules Football (AFL),,Divorced,Not currently employed,Undergraduate or Bachelor Degree
459,Complete,Female,35-44 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
460,Complete,Female,25-34 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
461,Complete,Female,25-34 years,QLD,Golf,,Married,Self-employed,TAFE qualification
462,Complete,Male,35-44 years,QLD,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
463,Complete,Female,25-34 years,QLD,Pickleball,,Single,Homemaker,TAFE qualification
464,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
465,Complete,Male,45-54 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
466,Complete,Female,18-24 years,NSW,Soccer,,Single,Not currently employed,Year/Grade 12 or equivalent
467,Complete,Male,35-44 years,QLD,Cricket,,Divorced,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
468,Complete,Male,25-34 years,QLD,Netball,,In a relationship,"An employee on wages, salary or commission",Post Graduate Degree - Master's
469,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
470,Complete,Male,35-44 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
471,Complete,Female,65+ years,QLD,Rugby League (NRL),,Widowed,Retired,TAFE qualification
472,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
473,Complete,Male,35-44 years,ACT,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
474,Complete,Male,65+ years,NSW,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
475,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,Engaged,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
476,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
477,Complete,Female,25-34 years,VIC,Rugby Union,,Married,Homemaker,Undergraduate or Bachelor Degree
478,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 12 or equivalent
479,Complete,Female,65+ years,QLD,Rugby League (NRL),,Widowed,Retired,Diploma and advanced Diploma
480,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
481,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
482,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,Self-employed,TAFE qualification
483,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
484,Complete,Female,65+ years,NSW,Swimming,,Divorced,Retired,TAFE qualification
485,Complete,Male,25-34 years,NSW,Australian Rules Football (AFL),,Married,Self-employed,Post Graduate Degree - Master's
486,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
488,Complete,Male,65+ years,NSW,Australian Rules Football (AFL),,Married,Self-employed,Post Graduate Degree - Master's
