Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
61,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
62,Complete,Female,25-34 years,NSW,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
63,Complete,Male,45-54 years,NSW,Formula 1,,De facto / Lives with partner,"An employee on wages, salary or commission",Diploma and advanced Diploma
65,Complete,Female,55-64 years,QLD,Rugby Union,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
66,Complete,Male,65+ years,WA,Cricket,,Married,Retired,Undergraduate or Bachelor Degree
67,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
68,Complete,Female,25-34 years,VIC,Rugby Union,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
69,Complete,Male,45-54 years,TAS,Rugby League (NRL),,Single,Not currently employed,TAFE qualification
70,Complete,Male,65+ years,NSW,Cricket,,Single,Retired,Year/Grade 10 (or equivalent) or lower
71,Complete,Male,35-44 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
72,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
73,Complete,Male,55-64 years,NSW,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
74,Complete,Male,65+ years,VIC,Cricket,,In a relationship,Retired,Year/Grade 10 (or equivalent) or lower
75,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
76,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Single,Retired,Diploma and advanced Diploma
77,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
78,Complete,Female,45-54 years,QLD,Cricket,,Divorced,Self-employed,Undergraduate or Bachelor Degree
79,Complete,Female,45-54 years,ACT,Swimming,,Divorced,Retired,Post Graduate Degree - Master's
80,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
82,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
83,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
84,Complete,Female,35-44 years,NSW,Rugby League (NRL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
85,Complete,Male,45-54 years,NSW,Rugby Union,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
86,Complete,Male,65+ years,NSW,Australian Rules Football (AFL),,Divorced,Retired,Undergraduate or Bachelor Degree
87,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
88,Complete,Female,45-54 years,QLD,Rugby Union,,Married,"An employee on wages, salary or commission",TAFE qualification
89,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
90,Complete,Female,45-54 years,TAS,Cricket,,Single,"An employee on wages, salary or commission",TAFE qualification
91,Complete,Male,65+ years,VIC,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
92,Complete,Female,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
93,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,Self-employed,Post Graduate Degree - Master's
94,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
95,Complete,Male,55-64 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
96,Complete,Female,45-54 years,SA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
97,Complete,Female,55-64 years,WA,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
98,Complete,Female,18-24 years,VIC,Swimming,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
99,Complete,Male,65+ years,VIC,Cricket,,Divorced,Retired,Diploma and advanced Diploma
100,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
101,Complete,Male,55-64 years,NSW,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
102,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
103,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
104,Complete,Female,18-24 years,VIC,Soccer,,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
105,Complete,Male,65+ years,WA,Cricket,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
106,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
107,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
108,Complete,Male,35-44 years,QLD,Soccer,,In a relationship,Not currently employed,Year/Grade 12 or equivalent
109,Complete,Female,35-44 years,QLD,Rugby League (NRL),,Married,Homemaker,TAFE qualification
110,Complete,Male,65+ years,WA,Australian Rules Football (AFL),,Divorced,Retired,TAFE qualification
112,Complete,Male,35-44 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
113,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
114,Complete,Female,35-44 years,VIC,Soccer,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
115,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
116,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
117,Complete,Female,65+ years,NT,Australian Rules Football (AFL),,Divorced,Not currently employed,Post Graduate Degree - Doctorate
118,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
119,Complete,Female,55-64 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
120,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
121,Complete,Male,25-34 years,NSW,Cricket,,Married,Self-employed,Post Graduate Degree - Doctorate
122,Complete,Female,45-54 years,WA,Soccer,,Separated,Homemaker,TAFE qualification
123,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Widowed,Retired,Year/Grade 12 or equivalent
124,Complete,Female,45-54 years,WA,Australian Rules Football (AFL),,Separated,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
125,Complete,Female,45-54 years,NSW,Australian Rules Football (AFL),,Separated,Homemaker,Undergraduate or Bachelor Degree
126,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
127,Complete,Male,65+ years,NSW,Cricket,,Married,Self-employed,Post Graduate Degree - Master's
128,Complete,Female,55-64 years,NSW,Soccer,,Single,"An employee on wages, salary or commission",TAFE qualification
129,Complete,Female,55-64 years,NSW,Swimming,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
130,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
131,Complete,Female,35-44 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
132,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Diploma and advanced Diploma
133,Complete,Female,65+ years,WA,Australian Rules Football (AFL),,Divorced,Retired,TAFE qualification
134,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
135,Complete,Female,65+ years,QLD,Cricket,,Married,Retired,Diploma and advanced Diploma
136,Complete,Female,55-64 years,NSW,Rugby Union,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
137,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
138,Complete,Male,55-64 years,NSW,Rugby League (NRL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
139,Complete,Male,55-64 years,QLD,Australian Rules Football (AFL),,Married,Retired,Graduate Diploma/ Graduate Certificate
140,Complete,Male,45-54 years,VIC,Tennis,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
141,Complete,Female,65+ years,NSW,Australian Rules Football (AFL),,Widowed,Retired,Post Graduate Degree - Master's
143,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
144,Complete,Female,55-64 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
145,Complete,Male,25-34 years,NSW,Rugby League (NRL),,Single,Not currently employed,Post Graduate Degree - Master's
146,Complete,Female,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
147,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Single,Retired,Year/Grade 10 (or equivalent) or lower
148,Complete,Female,65+ years,NSW,Rugby League (NRL),,Single,Retired,Diploma and advanced Diploma
149,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
150,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
151,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Single,Self-employed,TAFE qualification
152,Complete,Male,55-64 years,NSW,Cricket,,Married,Retired,Diploma and advanced Diploma
153,Complete,Male,25-34 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
154,Complete,Male,55-64 years,QLD,Cricket,,Single,Retired,Diploma and advanced Diploma
155,Complete,Male,25-34 years,NSW,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
156,Complete,Female,55-64 years,ACT,Other (please specify),Depends where you live.,Widowed,Retired,Year/Grade 12 or equivalent
157,Complete,Male,18-24 years,TAS,Boxing / MMA,,In a relationship,Not currently employed,Undergraduate or Bachelor Degree
159,Complete,Male,35-44 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
